record_date,transaction_today_amt
2022-01-24,0
2022-01-25,0
2022-01-26,2719
2022-01-27,0
2022-01-28,0
2022-01-31,0
2022-02-01,0
2022-02-02,1462
2022-02-03,0
2022-02-04,0
2022-02-07,0
2022-02-08,0
2022-02-09,3897
2022-02-10,0
2022-02-11,0
2022-02-14,0
2022-02-15,0
2022-02-16,2822
2022-02-17,0
2022-02-18,0
2022-02-22,0
2022-02-23,2509
2022-02-24,0
2022-02-25,0
2022-02-28,0
2022-03-01,0
2022-03-02,2078
2022-03-03,0
2022-03-04,0
2022-03-07,0
2022-03-08,0
2022-03-09,2313
2022-03-10,0
2022-03-11,0
2022-03-14,0
2022-03-15,0
2022-03-16,3273
2022-03-17,0
2022-03-18,0
2022-03-21,0
2022-03-22,0
2022-03-23,2981
2022-03-24,0
2022-03-25,0
2022-03-28,0
2022-03-29,0
2022-03-30,2481
2022-03-31,0
2022-04-01,0
2022-04-04,0
2022-04-05,0
2022-04-06,2439
2022-04-07,0
2022-04-08,0
2022-04-11,0
2022-04-12,0
2022-04-13,2349
2022-04-14,0
2022-04-15,0
2022-04-18,0
2022-04-19,0
2022-04-20,2867
2022-04-21,0
2022-04-22,0
2022-04-25,0
2022-04-26,0
2022-04-27,2639
2022-04-28,0
2022-04-29,0
2022-05-02,0
2022-05-03,0
2022-05-04,2034
2022-05-05,0
2022-05-06,0
2022-05-09,0
2022-05-10,0
2022-05-11,3470
2022-05-12,0
2022-05-13,0
2022-05-16,0
2022-05-17,0
2022-05-18,3083
2022-05-19,0
2022-05-20,0
2022-05-23,0
2022-05-24,0
2022-05-25,3180
2022-05-26,0
2022-05-27,0
2022-05-31,0
2022-06-01,2435
2022-06-02,0
2022-06-03,0
2022-06-06,0
2022-06-07,0
2022-06-08,2690
2022-06-09,0
2022-06-10,0
2022-06-13,0
2022-06-14,0
2022-06-15,2189
2022-06-16,0
2022-06-17,0
2022-06-21,0
2022-06-22,1797
2022-06-23,0
2022-06-24,0
2022-06-27,0
2022-06-28,0
2022-06-29,1227
2022-06-30,0
2022-07-01,0
2022-07-05,0
2022-07-06,811
2022-07-07,0
2022-07-08,0
2022-07-11,0
2022-07-12,0
2022-07-13,1444
2022-07-14,0
2022-07-15,0
2022-07-18,0
2022-07-19,0
2022-07-20,1746
2022-07-21,0
2022-07-22,0
2022-07-25,0
2022-07-26,0
2022-07-27,1921
2022-07-28,0
2022-07-29,0
2022-08-01,0
2022-08-02,0
2022-08-03,1438
2022-08-04,0
2022-08-05,0
2022-08-08,0
2022-08-09,0
2022-08-10,1446
2022-08-11,0
2022-08-12,0
2022-08-15,0
2022-08-16,0
2022-08-17,1659
2022-08-18,0
2022-08-19,0
2022-08-22,0
2022-08-23,0
2022-08-24,1047
2022-08-25,0
2022-08-26,0
2022-08-29,0
2022-08-30,0
2022-08-31,1022
2022-09-01,0
2022-09-02,0
2022-09-06,0
2022-09-07,710
2022-09-08,0
2022-09-09,0
2022-09-12,0
2022-09-13,0
2022-09-14,66
2022-09-15,0
2022-09-16,0
2022-09-19,0
2022-09-20,0
2022-09-21,240
2022-09-22,0
2022-09-23,0
2022-09-26,0
2022-09-27,0
2022-09-28,42
2022-09-29,0
2022-09-30,0
2022-10-03,0
2022-10-04,0
2022-10-05,16
2022-10-06,0
2022-10-07,0
2022-10-11,0
2022-10-12,39
2022-10-13,0
2022-10-14,0
2022-10-17,0
2022-10-18,0
2022-10-19,26
2022-10-20,0
2022-10-21,0
2022-10-24,0
2022-10-25,0
2022-10-26,30
2022-10-27,0
2022-10-28,0
2022-10-31,0
2022-11-01,0
2022-11-02,8
2022-11-03,0
2022-11-04,0
2022-11-07,0
2022-11-08,0
2022-11-09,57
2022-11-10,0
2022-11-14,0
2022-11-15,0
2022-11-16,8
2022-11-17,0
2022-11-18,0
2022-11-21,0
2022-11-22,0
2022-11-23,80
2022-11-25,0
2022-11-28,0
2022-11-29,0
2022-11-30,34
2022-12-01,0
2022-12-02,0
2022-12-05,0
2022-12-06,0
2022-12-07,18
2022-12-08,0
2022-12-09,0
2022-12-12,0
2022-12-13,0
2022-12-14,56
2022-12-15,0
2022-12-16,0
2022-12-19,0
2022-12-20,0
2022-12-21,56
2022-12-22,0
2022-12-23,0
2022-12-27,0
2022-12-28,24
2022-12-29,0
2022-12-30,0
2023-01-03,0
2023-01-04,15
2023-01-05,0
2023-01-06,0
2023-01-09,0
2023-01-10,0
2023-01-11,0
2023-01-12,0
2023-01-13,0
2023-01-17,0
2023-01-18,0
2023-01-19,0
2023-01-20,0
2023-01-23,0
2023-01-24,0
2023-01-25,0
2023-01-26,0
2023-01-27,0
2023-01-30,0
2023-01-31,0
2023-02-01,40
2023-02-02,0
2023-02-03,0
2023-02-06,0
2023-02-07,0
2023-02-08,0
2023-02-09,0
2023-02-10,0
2023-02-13,0
2023-02-14,0
2023-02-15,0
2023-02-16,0
2023-02-17,0
2023-02-21,0
2023-02-22,0
2023-02-23,0
2023-02-24,0
2023-02-27,0
2023-02-28,0
2023-03-01,0
2023-03-02,0
2023-03-03,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-13,0
2023-03-14,0
2023-03-15,0
2023-03-16,0
2023-03-17,0
2023-03-20,0
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,0
2023-03-27,0
2023-03-28,0
2023-03-29,19
2023-03-30,0
2023-03-31,0
2023-04-03,0
2023-04-04,0
2023-04-05,20
2023-04-06,0
2023-04-07,0
2023-04-10,0
2023-04-11,0
2023-04-12,0
2023-04-13,0
2023-04-14,0
2023-04-17,0
2023-04-18,0
2023-04-19,9
2023-04-20,0
2023-04-21,0
2023-04-24,0
2023-04-25,0
2023-04-26,0
2023-04-27,0
2023-04-28,0
2023-05-01,0
2023-05-02,0
2023-05-03,0
2023-05-04,0
2023-05-05,0
2023-05-08,0
2023-05-09,0
2023-05-10,0
2023-05-11,0
2023-05-12,0
2023-05-15,0
2023-05-16,0
2023-05-17,0
2023-05-18,0
2023-05-19,0
2023-05-22,0
2023-05-23,0
2023-05-24,0
2023-05-25,0
2023-05-26,0
2023-05-30,0
2023-05-31,0
2023-06-01,0
2023-06-02,0
2023-06-05,0
2023-06-06,0
2023-06-07,0
2023-06-08,0
2023-06-09,0
2023-06-12,0
2023-06-13,0
2023-06-14,0
2023-06-15,0
2023-06-16,0
2023-06-20,0
2023-06-21,0
2023-06-22,0
2023-06-23,0
2023-06-26,0
2023-06-27,0
2023-06-28,0
2023-06-29,0
2023-06-30,0
2023-07-03,0
2023-07-05,0
2023-07-06,0
2023-07-07,0
2023-07-10,0
2023-07-11,0
2023-07-12,0
2023-07-13,0
2023-07-14,0
2023-07-17,0
2023-07-18,0
2023-07-19,24
2023-07-20,0
2023-07-21,0
2023-07-24,0
2023-07-25,0
2023-07-26,1
2023-07-27,0
2023-07-28,0
2023-07-31,0
2023-08-01,0
2023-08-02,0
2023-08-03,0
2023-08-04,0
2023-08-07,0
2023-08-08,0
2023-08-09,0
2023-08-10,0
2023-08-11,0
2023-08-14,0
2023-08-15,0
2023-08-16,0
2023-08-17,0
2023-08-18,0
2023-08-21,0
2023-08-22,0
2023-08-23,0
2023-08-24,0
2023-08-25,0
2023-08-28,0
2023-08-29,0
2023-08-30,0
2023-08-31,0
2023-09-01,0
2023-09-05,0
2023-09-06,0
2023-09-07,0
2023-09-08,0
2023-09-11,0
2023-09-12,0
2023-09-13,0
2023-09-14,0
2023-09-15,0
2023-09-18,0
2023-09-19,0
2023-09-20,0
2023-09-21,0
2023-09-22,0
2023-09-25,0
2023-09-26,0
2023-09-27,0
2023-09-28,0
2023-09-29,0
2023-10-02,0
2023-10-03,0
2023-10-04,0
2023-10-05,0
2023-10-06,0
2023-10-10,0
2023-10-11,19
2023-10-12,0
2023-10-13,0
2023-10-16,0
2023-10-17,0
2023-10-18,45
2023-10-19,0
2023-10-20,0
2023-10-23,0
2023-10-24,0
2023-10-25,70
2023-10-26,0
2023-10-27,0
2023-10-30,0
2023-10-31,0
2023-11-01,30
2023-11-02,0
2023-11-03,0
2023-11-06,0
2023-11-07,0
2023-11-08,71
2023-11-09,0
2023-11-10,0
2023-11-13,0
2023-11-14,0
2023-11-15,35
2023-11-16,0
2023-11-17,0
2023-11-20,0
2023-11-21,0
2023-11-22,69
2023-11-24,0
2023-11-27,0
2023-11-28,0
2023-11-29,75
2023-11-30,0
2023-12-01,0
2023-12-04,0
2023-12-05,0
2023-12-06,34
2023-12-07,0
2023-12-08,0
2023-12-11,0
2023-12-12,0
2023-12-13,22
2023-12-14,0
2023-12-15,0
2023-12-18,0
2023-12-19,0
2023-12-20,21
2023-12-21,0
2023-12-22,0
2023-12-26,0
2023-12-27,53
2023-12-28,0
2023-12-29,0
2024-01-02,0
2024-01-03,51
2024-01-04,0
2024-01-05,0
2024-01-08,0
2024-01-09,0
2024-01-10,0
2024-01-11,0
2024-01-12,0
2024-01-16,0
2024-01-17,34
2024-01-18,0
2024-01-19,0
2024-01-22,0
2024-01-23,0
2024-01-24,36
2024-01-25,0
2024-01-26,0
2024-01-29,0
2024-01-30,0
2024-01-31,0
2024-02-01,0
2024-02-02,0
2024-02-05,0
2024-02-06,0
2024-02-07,0
2024-02-08,0
2024-02-09,0
2024-02-12,0
2024-02-13,0
2024-02-14,0
2024-02-15,0
2024-02-16,0
2024-02-20,0
2024-02-21,0
2024-02-22,0
2024-02-23,0
2024-02-26,0
2024-02-27,0
2024-02-28,0
2024-02-29,0
2024-03-01,0
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,0
2024-03-15,0
2024-03-18,0
2024-03-19,0
2024-03-20,48
2024-03-21,0
2024-03-22,0
2024-03-25,0
2024-03-26,0
2024-03-27,102
2024-03-28,0
2024-03-29,0
2024-04-01,0
2024-04-02,0
2024-04-03,77
2024-04-04,0
2024-04-05,0
2024-04-08,0
2024-04-09,0
2024-04-10,78
2024-04-11,0
2024-04-12,0
2024-04-15,0
2024-04-16,0
2024-04-17,74
2024-04-18,0
2024-04-19,0
2024-04-22,0
2024-04-23,0
2024-04-24,116
2024-04-25,0
2024-04-26,0
2024-04-29,0
2024-04-30,0
2024-05-01,124
2024-05-02,0
2024-05-03,0
2024-05-06,0
2024-05-07,0
2024-05-08,121
2024-05-09,0
2024-05-10,0
2024-05-13,0
2024-05-14,0
2024-05-15,91
2024-05-16,0
2024-05-17,0
2024-05-20,0
2024-05-21,0
2024-05-22,153
2024-05-23,0
2024-05-24,0
2024-05-28,0
2024-05-29,116
2024-05-30,0
2024-05-31,0
2024-06-03,0
2024-06-04,0
2024-06-05,96
2024-06-06,0
2024-06-07,0
2024-06-10,0
2024-06-11,0
2024-06-12,105
2024-06-13,0
2024-06-14,0
2024-06-17,0
2024-06-18,0
2024-06-20,102
2024-06-21,0
2024-06-24,0
2024-06-25,0
2024-06-26,96
2024-06-27,0
2024-06-28,0
2024-07-01,0
2024-07-02,0
2024-07-03,75
2024-07-05,0
2024-07-08,0
2024-07-09,0
2024-07-10,123
2024-07-11,0
2024-07-12,0
2024-07-15,0
2024-07-16,0
2024-07-17,25
2024-07-18,0
2024-07-19,0
2024-07-22,0
2024-07-23,0
2024-07-24,124
2024-07-25,0
2024-07-26,0
2024-07-29,0
2024-07-30,0
2024-07-31,74
2024-08-01,0
2024-08-02,0
2024-08-05,0
2024-08-06,0
2024-08-07,75
2024-08-08,0
2024-08-09,0
2024-08-12,0
2024-08-13,0
2024-08-14,54
2024-08-15,0
2024-08-16,0
2024-08-19,0
2024-08-20,0
2024-08-21,83
2024-08-22,0
2024-08-23,0
2024-08-26,0
2024-08-27,0
2024-08-28,80
2024-08-29,0
2024-08-30,0
2024-09-03,0
2024-09-04,50
2024-09-05,0
2024-09-06,0
2024-09-09,0
2024-09-10,0
2024-09-11,60
2024-09-12,0
2024-09-13,0
2024-09-16,0
2024-09-17,0
2024-09-18,56
2024-09-19,0
2024-09-20,0
2024-09-23,0
2024-09-24,0
2024-09-25,89
2024-09-26,0
2024-09-27,0
2024-09-30,0
2024-10-01,0
2024-10-02,33
2024-10-03,0
2024-10-04,0
2024-10-07,0
2024-10-08,0
2024-10-09,89
2024-10-10,0
2024-10-11,0
2024-10-15,0
2024-10-16,25
2024-10-17,0
2024-10-18,0
2024-10-21,0
2024-10-22,0
2024-10-23,81
2024-10-24,0
2024-10-25,0
2024-10-28,0
2024-10-29,0
2024-10-30,67
2024-10-31,0
2024-11-01,0
2024-11-04,0
2024-11-05,0
2024-11-06,78
2024-11-07,0
2024-11-08,0
2024-11-12,0
2024-11-13,74
2024-11-14,0
2024-11-15,0
2024-11-18,0
2024-11-19,0
2024-11-20,77
2024-11-21,0
2024-11-22,0
2024-11-25,0
2024-11-26,0
2024-11-27,87
2024-11-29,0
2024-12-02,0
2024-12-03,0
2024-12-04,127
2024-12-05,0
2024-12-06,0
2024-12-09,0
2024-12-10,0
2024-12-11,64
2024-12-12,0
2024-12-13,0
2024-12-16,0
2024-12-17,0
2024-12-18,73
2024-12-19,0
2024-12-20,0
2024-12-23,0
2024-12-24,0
2024-12-26,69
2024-12-27,0
2024-12-30,0
2024-12-31,0
2025-01-02,127
2025-01-03,0
2025-01-06,0
2025-01-07,0
2025-01-08,0
2025-01-09,0
2025-01-10,0
2025-01-13,0
2025-01-14,0
2025-01-15,98
2025-01-16,0
2025-01-17,0
2025-01-21,0
2025-01-22,59
2025-01-23,0
2025-01-24,0
2025-01-27,0
2025-01-28,0
2025-01-29,39
2025-01-30,0
2025-01-31,0
2025-02-03,0
2025-02-04,0
2025-02-05,65
2025-02-06,0
2025-02-07,0
2025-02-10,0
2025-02-11,0
2025-02-12,623
2025-02-13,0
2025-02-14,0
2025-02-18,0
2025-02-19,58
2025-02-20,0
2025-02-21,0
2025-02-24,0
2025-02-25,0
2025-02-26,100
2025-02-27,0
2025-02-28,0
2025-03-03,0
2025-03-04,0
2025-03-05,93
2025-03-06,0
2025-03-07,0
2025-03-10,0
2025-03-11,0
2025-03-12,168
2025-03-13,0
2025-03-14,0
2025-03-17,0
2025-03-18,0
2025-03-19,152
2025-03-20,0
2025-03-21,0
2025-03-24,0
2025-03-25,0
2025-03-26,122
2025-03-27,0
2025-03-28,0
2025-03-31,0
2025-04-01,0
2025-04-02,67
2025-04-03,0
2025-04-04,0
2025-04-07,0
2025-04-08,0
2025-04-09,128
2025-04-10,0
2025-04-11,0
2025-04-14,0
2025-04-15,0
2025-04-16,121
2025-04-17,0
2025-04-18,0
2025-04-21,0
2025-04-22,0
2025-04-23,160
2025-04-24,0
2025-04-25,0
2025-04-28,0
2025-04-29,0
2025-04-30,127
2025-05-01,0
2025-05-02,0
2025-05-05,0
2025-05-06,0
2025-05-07,123
2025-05-08,0
2025-05-09,0
2025-05-12,0
2025-05-13,0
2025-05-14,92
2025-05-15,0
2025-05-16,0
2025-05-19,0
2025-05-20,0
2025-05-21,100
2025-05-22,0
2025-05-23,0
2025-05-27,0
2025-05-28,123
2025-05-29,0
2025-05-30,0
2025-06-02,0
2025-06-03,0
2025-06-04,81
2025-06-05,0
2025-06-06,0
2025-06-09,0
2025-06-10,0
2025-06-11,119
2025-06-12,0
2025-06-13,0
2025-06-16,0
2025-06-17,0
2025-06-18,106
2025-06-20,0
2025-06-23,0
2025-06-24,0
2025-06-25,155
2025-06-26,0
2025-06-27,0
2025-06-30,0
2025-07-01,0
2025-07-02,45
2025-07-03,0
2025-07-07,0
2025-07-08,0
2025-07-09,155
2025-07-10,0
2025-07-11,0
2025-07-14,0
2025-07-15,0
2025-07-16,61
2025-07-17,0
2025-07-18,0
2025-07-21,0
2025-07-22,0
2025-07-23,102
2025-07-24,0
2025-07-25,0
2025-07-28,0
2025-07-29,0
2025-07-30,111
2025-07-31,0
2025-08-01,0
2025-08-04,0
2025-08-05,0
2025-08-06,69
2025-08-07,0
2025-08-08,0
2025-08-11,0
2025-08-12,0
2025-08-13,136
2025-08-14,0
2025-08-15,0
2025-08-18,0
2025-08-19,0
2025-08-20,112
2025-08-21,0
2025-08-22,0
2025-08-25,0
2025-08-26,0
2025-08-27,100
2025-08-28,0
2025-08-29,0
2025-09-02,0
